REGIONAL,DISTRITO,POLITÉCNICO,SIGERD,MATRÍCULA
18 - BAORUCO,1803 - VILLA JARAGUA,14158 - POLITECNICO MARIE POUSSEPIN - FE Y ALEGRIA,14158,223
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,11150 - POLITECNICO HERMANA JOSEFINA SERRANO,11150,224
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,07064 - POLITECNICO EVANGELICO SHALOM,07064,225
14 - NAGUA,1405 - SANCHEZ,07809 - POLITECNICO FRANCISCO DEL ROSARIO SANCHEZ,07809,225
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,14313 - POLITECNICO PROF. YSABEL ROSALBA TORREZ RODRIGUEZ,14313,227
06 - LA VEGA,0607 - GASPAR HERNANDEZ,15228 - POLITECNICO PROF. JUAN EMILIO BOSCH GAVIÑO,15228,228
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,14410 - POLITECNICO PROF. MIGUEL INFANTE SANTANA,14410,231
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,15444 - POLITECNICO YORYI MOREL,15444,232
10 - SANTO DOMINGO,1003 - SANTO DOMINGO NORESTE,15705 - POLITECNICO JUAN DE LOS SANTOS,15705,232
10 - SANTO DOMINGO,1006 - MENDOZA,05583 - POLITECNICO SAN JOSE DE LOS FRAILES,05583,232
15 - SANTO DOMINGO,1502 - SANTO DOMINGO CENTRO,06309 - POLITECNICO HERMANA ROSARIO TORRES FE Y ALEGRIA,06309,233
17 - MONTE PLATA,1701 - YAMASA,13387 - POLITECNICO JOSE REYES,13387,233
17 - MONTE PLATA,1702 - MONTE PLATA,13164 - POLITECNICO JULIO ABREU CUELLO,13164,241
12 - HIGUEY,1201 - HIGUEY,14676 - POLITECNICO PROF. SANTA MARIANA OLEA DE CASTRO,14676,244
04 - SAN CRISTOBAL,0407 - SAN GREGORIO DE NIGUA,07979 - POLITECNICO PADRE ZEGRI,07979,245
08 - SANTIAGO,0806 - SANTIAGO NORESTE,11918 - POLITECNICO MARTINA MERCEDES ZOUAIN,11918,246
15 - SANTO DOMINGO,1502 - SANTO DOMINGO CENTRO,06313 - POLITECNICO MANUEL AURELIO TAVAREZ JUSTO (MANOLO),06313,246
16 - COTUI,1602 - FANTINO,08424 - POLITECNICO PADRE FANTINO,08424,248
10 - SANTO DOMINGO,1004 - SANTO DOMINGO ORIENTAL,09605 - POLITECNICO JOSE MARIA VELAZ FE Y ALEGRIA,09605,249
05 - SAN PEDRO DE MACORIS,0511 - VILLA HERMOSA,14685 - POLITECNICO PROF. MERCEDES MARIA LAZALA MEJIA,14685,250
15 - SANTO DOMINGO,1504 - SANTO DOMINGO NOROESTE,14224 - POLITECNICO HERMANAS MIRABAL,14224,250
01 - BARAHONA,0101 - PEDERNALES,07430 - POLITECNICO LUIS MEDRANO GONZALEZ,07430,251
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,14601 - POLITECNICO PROF. JOSE MERCEDES ALVINO,14601,252
04 - SAN CRISTOBAL,0407 - SAN GREGORIO DE NIGUA,07932 - POLITECNICO PROF. MELIDA ALTAGRACIA BAEZ,07932,254
15 - SANTO DOMINGO,1505 - HERRERA,05762 - POLITECNICO LAS AMERICAS,05762,254
18 - BAORUCO,1805 - DUVERGE,06878 - POLITECNICO ENRIQUILLO,06878,259
16 - COTUI,1604 - BONAO SUROESTE,14697 - PROF. RUTH ELVIRA AYBAR DE POLANCO,14697,260
17 - MONTE PLATA,1702 - MONTE PLATA,09190 - POLITECNICO PROMAPEC,09190,265
04 - SAN CRISTOBAL,0404 - VILLA  ALTAGRACIA,14217 - POLITECNICO MANUEL AURELIO TAVAREZ JUSTO (MANOLO),14217,266
04 - SAN CRISTOBAL,0406 - HAINA,07904 - CESAR NICOLAS PENSON,07904,266
04 - SAN CRISTOBAL,0402 - SAN CRISTOBAL NORTE,15293 - POLITECNICO EUGENIO MARIA DE HOSTOS,15293,268
04 - SAN CRISTOBAL,0405 - YAGUATE,15341 - POLITECNICO ANDRES BREMON,15341,271
10 - SANTO DOMINGO,1004 - SANTO DOMINGO ORIENTAL,05515 - POLITECNICO DIVINA PROVIDENCIA,05515,271
15 - SANTO DOMINGO,1503 - SANTO DOMINGO SURCENTRAL,05025 - FERNANDO ARTURO DE MERINO,05025,276
07 - SAN FRANCISCO DE MACORIS,0703 - CASTILLO,06641 - POLITECNICO AGUSTIN BONILLA,06641,278
14 - NAGUA,1407 - LAS TERRENAS,13364 - POLITECNICO SANTO ESTEBAN RIVERA,13364,282
16 - COTUI,1607 - VILLA LA MATA,08433 - POLITECNICO MIGUEL ANGEL GARCIA VILORIA,08433,284
01 - BARAHONA,0105 - VICENTE NOBLE,06497 - POLITECNICO SAN JOSE,06497,285
03 - AZUA,0305 - NIZAO,07478 - POLITECNICO SAN FELIPE NERI FE Y ALEGRIA,07478,286
06 - LA VEGA,0604 - LA VEGA OESTE,07173 - POLITECNICO MERCEDES MOREL,07173,286
15 - SANTO DOMINGO,1503 - SANTO DOMINGO SURCENTRAL,06180 - MOVEARTE (ESCUELA TECNICA),06180,286
06 - LA VEGA,0605 - LA VEGA ESTE,07209 - POLITECNICO MANUEL ACEVEDO SERRANO - FE Y ALEGRIA,07209,288
10 - SANTO DOMINGO,1001 - VILLA MELLA,05856 - POLITECNICO CRISTO OBRERO,05856,292
10 - SANTO DOMINGO,1001 - VILLA MELLA,15692 - POLITECNICO SOR ANGELES VALLS FE Y ALEGRIA,15692,292
15 - SANTO DOMINGO,1505 - HERRERA,14228 - POLITECNICO PROF. VICTOR PASCUAL AGUERO,14228,296
15 - SANTO DOMINGO,1505 - HERRERA,15475 - POLITECNICO PADRE JOAQUIM ROSSELLO,15475,296
17 - MONTE PLATA,1701 - YAMASA,09189 - POLITECNICO PARROQUIAL SOR SUSANA DALY,09189,297
01 - BARAHONA,0102 - ENRIQUILLO,06483 - POLITECNICO GUAROCUYA,06483,299
04 - SAN CRISTOBAL,0406 - HAINA,08091 - MELBA BAEZ DE ERAZO CENTRO DE EXCELENCIA,08091,299
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,08834 - POLITECNICO PADRE ZEGRI,08834,301
13 - MONTE CRISTI,1301 - MONTE CRISTI,14352 - POLITECNICO OLGA MODESTA MARTINEZ,14352,301
15 - SANTO DOMINGO,1502 - SANTO DOMINGO CENTRO,05399 - POLITECNICO DOMINGO SAVIO FE Y ALEGRIA,05399,303
02 - SAN JUAN DE LA MAGUANA,0206 - SAN JUAN OESTE,13936 - POLITECNICO SAN MIGUEL FE Y ALEGRIA,13936,307
10 - SANTO DOMINGO,1005 - BOCA CHICA,14169 - POLITECNICO ITLA,14169,307
15 - SANTO DOMINGO,1504 - SANTO DOMINGO NOROESTE,05174 - POLITECNICO SAN PABLO APOSTOL,05174,309
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,14392 - POLITECNICO MERCEDES ALTAGRACIA CABRAL DE LEON,14392,311
15 - SANTO DOMINGO,1503 - SANTO DOMINGO SURCENTRAL,16714 - INSTITUTO SALESIANO DON BOSCO,16714,313
18 - BAORUCO,1801 - NEIBA,14160 - POLITECNICO SAN BARTOLOME APOSTOL FE Y ALEGRIA,14160,314
02 - SAN JUAN DE LA MAGUANA,0206 - SAN JUAN OESTE,13531 - POLITECNICO MONSEÑOR TOMAS FRANCISCO REILLY,13531,323
03 - AZUA,0302 - PADRE DE LAS CASAS,06358 - POLITECNICO JOSE FRANCISCO BOBADILLA,06358,323
15 - SANTO DOMINGO,1501 - LOS ALCARRIZOS,12965 - POLITECNICO PROF. VIRGILIO CASILLA MINAYA,12965,328
10 - SANTO DOMINGO,1006 - MENDOZA,09246 - POLITECNICO MANUEL DEL CABRAL FE Y ALEGRIA,09246,329
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,15446 - POLITECNICO PROF. RAFAELA MARRERO PAULINO,15446,332
10 - SANTO DOMINGO,1001 - VILLA MELLA,15469 - POLITECNICO FRANCISCO ALBERTO CAAMAÑO DEÑO,15469,333
08 - SANTIAGO,0808 - LICEY AL MEDIO,08686 - POLITECNICO MERCEDES PEÑA,08686,335
10 - SANTO DOMINGO,1004 - SANTO DOMINGO ORIENTAL,09604 - INSTITUTO POLITECNICO PROF. JUAN BOSCH,09604,335
01 - BARAHONA,0103 - BARAHONA,06459 - POLITECNICO SALESIANO CRISTO REY,06459,337
10 - SANTO DOMINGO,1001 - VILLA MELLA,11048 - POLITECNICO NUESTRA SEÑORA DE LA ESPERANZA,11048,337
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,07046 - POLITECNICO LILIAM BAYONA,07046,340
04 - SAN CRISTOBAL,0404 - VILLA  ALTAGRACIA,16452 - POLITECNICO JOSE NUÑEZ DE CACERES,16452,341
16 - COTUI,1604 - BONAO SUROESTE,09099 - POLITECNICO ING. JOSE DELIO GUZMAN,09099,342
04 - SAN CRISTOBAL,0401 - CAMBITA GARABITOS,08007 - POLITECNICO CAMBITA,08007,343
15 - SANTO DOMINGO,1501 - LOS ALCARRIZOS,05799 - POLITECNICO SAN JOSE FE Y ALEGRIA,05799,347
10 - SANTO DOMINGO,1007 - SAN ANTONIO DE GUERRA,05984 - POLITECNICO MADRE LAURA,05984,348
17 - MONTE PLATA,1702 - MONTE PLATA,14234 - POLITECNICO CIUDAD DEL CONOCIMIENTO,14234,349
03 - AZUA,0303 - SAN JOSE DE OCOA,07482 - POLITECNICO JOSE NUÑEZ DE CACERES,07482,351
07 - SAN FRANCISCO DE MACORIS,0703 - CASTILLO,06626 - POLITECNICO MARIA PAULINO VIUDA PEREZ,06626,351
08 - SANTIAGO,0806 - SANTIAGO NORESTE,08640 - POLITECNICO MARTINA MERCEDES ZOUAIN,08640,353
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,15443 - POLITECNICO PROF. JUAN EMILIO BOSCH GAVIÑO,15443,354
16 - COTUI,1605 - PIEDRA BLANCA,09071 - POLITECNICO SALOME UREÑA,09071,355
04 - SAN CRISTOBAL,0406 - HAINA,07987 - POLITECNICO PROF. NAPOLEON ALBERTO CASILLA DIAZ,07987,356
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,11680 - POLITECNICO  MARIA AUXILIADORA,11680,356
15 - SANTO DOMINGO,1503 - SANTO DOMINGO SURCENTRAL,05227 - INSTITUTO TECNOLOGICO UNION PANAMERICANA,05227,357
06 - LA VEGA,0605 - LA VEGA ESTE,07169 - INSTITUTO AGRONOMICO Y TECNICO SALESIANO (IATESA),07169,358
06 - LA VEGA,0606 - MOCA,15276 - POLITECNICO SALESIANO ARQUIDES CALDERON,15276,363
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,15674 - POLITECNICO PROF. PLINIO RAFAEL MARTINEZ LUZON,15674,363
10 - SANTO DOMINGO,1001 - VILLA MELLA,09542 - CENTRO DE EXCELENCIA PROF. CRISTINA BILLINI MORALES FE Y ALEGRIA,09542,363
15 - SANTO DOMINGO,1502 - SANTO DOMINGO CENTRO,05407 - INSTITUTO POLITECNICO PARROQUIAL SANTA ANA,05407,363
10 - SANTO DOMINGO,1002 - SABANA PERDIDA,"13558 - POLITECNICO JUAN PABLO II, FE Y ALEGRIA",13558,367
06 - LA VEGA,0603 - JARABACOA,14285 - POLITECNICO MARIA AUXILIADORA,14285,368
10 - SANTO DOMINGO,1001 - VILLA MELLA,14841 - POLITECNICO ANTONIO FIGARIS BAEZ,14841,368
02 - SAN JUAN DE LA MAGUANA,0201 - COMENDADOR,13941 - POLITECNICO SAGRADO CORAZON DE JESUS FE Y ALEGRIA,13941,370
15 - SANTO DOMINGO,1503 - SANTO DOMINGO SURCENTRAL,11715 - INSTITUTO POLITECNICO SALESIANO PADRE BARTOLOME VEGH,11715,371
04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,15315 - POLITECNICO ALTAGRACIA LUCAS DE GARCIA,15315,373
10 - SANTO DOMINGO,1003 - SANTO DOMINGO NORESTE,05914 - POLITECNICO COLOMBINA CANARIO,05914,374
11 - PUERTO PLATA,1102 - PUERTO PLATA,15403 - POLITECNICO PROF. SANTOS ROMMEL CRUZ DE LEON,15403,376
11 - PUERTO PLATA,1102 - PUERTO PLATA,14424 - POLITECNICO PROF. JAVIER MARTINEZ ARIAS,14424,377
14 - NAGUA,1404 - SAMANA,14047 - POLITECNICO PROF. NATIVIDAD ZULEICA DE ACOSTA,14047,384
09 - MAO,0901 - MAO,09003 - INSTITUTO POLITECNICO NOROESTE,09003,390
06 - LA VEGA,0602 - CONSTANZA,07226 - POLITECNICO GASTON FERNANDO DELIGNE,07226,392
06 - LA VEGA,0603 - JARABACOA,07239 - POLITECNICO LUIS ERNESTO GOMEZ URIBE,07239,392
10 - SANTO DOMINGO,1001 - VILLA MELLA,14575 - BRAULIA DE PAULA,14575,394
10 - SANTO DOMINGO,1003 - SANTO DOMINGO NORESTE,15536 - POLITECNICO PROF. CELESTE ARGENTINA BELTRE MELO,15536,400
10 - SANTO DOMINGO,1004 - SANTO DOMINGO ORIENTAL,05365 - POLITECNICO MARIA DE LA ALTAGRACIA,05365,401
10 - SANTO DOMINGO,1006 - MENDOZA,14765 - POLITECNICO FRAY BALBINO PINEDA GALVEZ,14765,410
12 - HIGUEY,1201 - HIGUEY,06913 - INSTITUTO AGROPECUARIO DE HIGUEY,06913,410
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08832 - POLITECNICO VICTOR MANUEL ESPAILLAT,08832,412
10 - SANTO DOMINGO,1002 - SABANA PERDIDA,05707 - POLITECNICO MARCOS EVANGELISTA ADON,05707,416
10 - SANTO DOMINGO,1003 - SANTO DOMINGO NORESTE,05447 - POLITECNICO VIRGEN DE LA ALTAGRACIA,05447,417
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08539 - POLITECNICO MTRA. ELSA BRITO DE DOMINGUEZ,08539,419
16 - COTUI,1605 - PIEDRA BLANCA,14439 - POLITECNICO PEDRO FRANCISCO BONO,14439,422
03 - AZUA,0301 - AZUA,06336 - POLITECNICO PROF. TERESA DIGNA FELIZ DE ESTRADA,06336,425
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,13506 - POLITECNICO ERNESTO DISLA NUNEZ,13506,426
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,08913 - POLITECNICO ALTAGRACIA IGLESIAS DE LORA,08913,429
04 - SAN CRISTOBAL,0406 - HAINA,08019 - INSTITUTO POLITECNICO DE HAINA,08019,431
10 - SANTO DOMINGO,1001 - VILLA MELLA,05944 - POLITECNICO PARROQUIAL BETANIA,05944,431
08 - SANTIAGO,0810 - VILLA GONZALEZ,14407 - POLITECNICO LISENDRA ENINIA GERMOSEN FONDEUR,14407,433
06 - LA VEGA,0606 - MOCA,14051 - POLITECNICO PROF. ANDRES FRANCISCO LOPEZ CRUZ,14051,435
12 - HIGUEY,1203 - EL SEIBO,06746 - POLITECNICO SERGIO AUGUSTO BERAS,06746,435
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,12577 - POLITECNICO CALASANZ,12577,441
10 - SANTO DOMINGO,1001 - VILLA MELLA,05974 - POLITECNICO OSCUS SAN VALERO,05974,442
04 - SAN CRISTOBAL,0406 - HAINA,10173 - POLITECNICO MARTIN LOPEZ,10173,446
10 - SANTO DOMINGO,1007 - SAN ANTONIO DE GUERRA,05679 - POLITECNICO PROF. EUGENIO DE JESUS MARCANO FONDEUR,05679,448
04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,09977 - POLITECNICO FRANCISCO J. PEYNADO,09977,454
10 - SANTO DOMINGO,1001 - VILLA MELLA,13499 - INSTITUTO POLITECNICO ARAGON,13499,454
02 - SAN JUAN DE LA MAGUANA,0204 - EL CERCADO,08178 - POLITECNICO PROF. JUAN GONZALEZ MONTERO,08178,460
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,08489 - INSTITUTO POLITECNICO INDUSTRIAL DE SANTIAGO-IPISA,08489,466
10 - SANTO DOMINGO,1006 - MENDOZA,05777 - INSTITUTO POLITECNICO SALESIANO-HAINAMOSA,05777,467
03 - AZUA,0304 - BANI,07530 - POLITECNICO MAXIMO GOMEZ,07530,469
01 - BARAHONA,0103 - BARAHONA,06464 - INSTITUTO TECNOLOGICO FEDERICO HENRIQUEZ Y CARVAJAL,06464,472
04 - SAN CRISTOBAL,0404 - VILLA  ALTAGRACIA,07950 - POLITECNICO NUESTRA SEÑORA DE LA ALTAGRACIA,07950,475
13 - MONTE CRISTI,1304 - DAJABON,06526 - INSTITUTO TECNOLOGICO SAN IGNACIO DE LOYOLA (ITESIL),06526,475
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,13505 - INSTITUTO POLITECNICO INDUSTRIAL DON BOSCO - SALESIANO,13505,476
12 - HIGUEY,1203 - EL SEIBO,06770 - POLITECNICO SANTA CRUZ FE Y ALEGRIA,06770,476
10 - SANTO DOMINGO,1002 - SABANA PERDIDA,05812 - POLITECNICO CARDENAL SANCHA - FE Y ALEGRIA,05812,477
16 - COTUI,1601 - COTUI,08400 - POLITECNICO JUAN SANCHEZ RAMIREZ,08400,477
02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,14370 - POLITECNICO SAN PABLO,14370,480
10 - SANTO DOMINGO,1002 - SABANA PERDIDA,11226 - POLITECNICO MANUEL AURELIO TAVAREZ JUSTO (MANOLO),11226,484
15 - SANTO DOMINGO,1502 - SANTO DOMINGO CENTRO,05589 - INSTITUTO POLITECNICO CARDENAL SANCHA,05589,486
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,14312 - POLITECNICO MONSEÑOR JUAN ANTONIO FLORES,14312,487
08 - SANTIAGO,0809 - TAMBORIL,08717 - POLITECNICO BRAULIO PAULINO,08717,487
15 - SANTO DOMINGO,1503 - SANTO DOMINGO SURCENTRAL,05887 - POLITECNICO GENERAL BELISARIO PEGUERO GUERRERO P.N.,05887,498
01 - BARAHONA,0103 - BARAHONA,06518 - CATOLICO TECNOLOGICO DE BARAHONA - LICATEBA,06518,500
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08920 - POLITECNICO RAMON DUBERT NOVO,08920,502
10 - SANTO DOMINGO,1006 - MENDOZA,15538 - POLITECNICO FELIX MARIA RUIZ,15538,506
04 - SAN CRISTOBAL,0405 - YAGUATE,07965 - POLITECNICO ANA LILLIAMS MIRANDA,07965,510
02 - SAN JUAN DE LA MAGUANA,0203 - LAS MATAS DE FARFAN,08198 - POLITECNICO PROF. MERCEDES MARIA MATEO,08198,516
05 - SAN PEDRO DE MACORIS,0506 - CONSUELO,11516 - POLITECNICO INMACULADA CONCEPCION,11516,522
10 - SANTO DOMINGO,1004 - SANTO DOMINGO ORIENTAL,"05371 - INSTITUTO POLITECNICO PILAR CONSTANZO, (FMA SALESIANAS)",05371,538
06 - LA VEGA,0604 - LA VEGA OESTE,01966 - POLITECNICO FORMACION Y DESARROLLO INTEGRAL PADRE FANTINO,01966,543
10 - SANTO DOMINGO,1002 - SABANA PERDIDA,11453 - POLITECNICO EMMA BALAGUER,11453,548
15 - SANTO DOMINGO,1502 - SANTO DOMINGO CENTRO,05344 - INSTITUTO TECNICO SALESIANO - ITESA,05344,549
16 - COTUI,1604 - BONAO SUROESTE,09021 - POLITECNICO FRANCISCO ANTONIO BATISTA GARCIA,09021,550
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,08498 - INSTITUTO POLITECNICO NUESTRA SEÑORA DE LAS MERCEDES,08498,556
10 - SANTO DOMINGO,1002 - SABANA PERDIDA,09239 - INSTITUTO POLITECNICO EL AVE MARIA,09239,562
07 - SAN FRANCISCO DE MACORIS,0706 - SAN FRANCISCO DE MACORIS NOR-O,06553 - POLITECNICO VICENTE AQUILINO SANTOS,06553,563
06 - LA VEGA,0602 - CONSTANZA,07227 - POLITECNICO FELIPE SORIANO BELLO,07227,565
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08531 - POLITECNICO PROF. RAFAELA PEREZ,08531,570
05 - SAN PEDRO DE MACORIS,0504 - HATO MAYOR,09198 - POLITECNICO CESAR NICOLAS PENSON,09198,575
15 - SANTO DOMINGO,1504 - SANTO DOMINGO NOROESTE,05150 - INSTITUTO TECNOLOGICO DE ARTES Y OFICIOS,05150,589
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08582 - INSTITUTO POLITECNICO LA ESPERANZA,08582,611
05 - SAN PEDRO DE MACORIS,0501 - SAN PEDRO DE MACORIS ESTE,08273 - INSTITUTO POLITECNICO PEDRO FELICIANO MARTINEZ,08273,616
15 - SANTO DOMINGO,1504 - SANTO DOMINGO NOROESTE,05163 - INSTITUTO POLITECNICO ANGELES CUSTODIOS,05163,626
15 - SANTO DOMINGO,1502 - SANTO DOMINGO CENTRO,05300 - POLITECNICO NUESTRA SEÑORA DEL CARMEN,05300,630
15 - SANTO DOMINGO,1504 - SANTO DOMINGO NOROESTE,05152 - INSTITUTO POLITECNICO VICTOR ESTRELLA LIZ,05152,640
05 - SAN PEDRO DE MACORIS,0511 - VILLA HERMOSA,13893 - POLITECNICO LUIS HERIBERTO PAYAN,13893,641
10 - SANTO DOMINGO,1001 - VILLA MELLA,06242 - POLITECNICO SAN MIGUEL ARCANGEL,06242,682
11 - PUERTO PLATA,1102 - PUERTO PLATA,07575 - POLITECNICO GREGORIO URBANO GILBERT,07575,695
02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,08131 - POLITECNICO PEDRO HENRIQUEZ UREÑA,08131,782
15 - SANTO DOMINGO,1505 - HERRERA,04951 - POLITECNICO MADRE. RAFAELA YBARRA,04951,799
04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,07871 - INSTITUTO POLITECNICO LOYOLA,07871,802
10 - SANTO DOMINGO,1006 - MENDOZA,06067 - INSTITUTO TECNOLOGICO SIMON OROZCO,06067,805
15 - SANTO DOMINGO,1501 - LOS ALCARRIZOS,05873 - POLITECNICO MAX HENRIQUEZ UREÑA - LA UNION,05873,838
10 - SANTO DOMINGO,1003 - SANTO DOMINGO NORESTE,06228 - INSTITUTO TECNOLOGICO FABIO AMABLE MOTA,06228,843
10 - SANTO DOMINGO,1006 - MENDOZA,05787 - POLITECNICO NUESTRA SEÑORA PERPETUO SOCORRO,05787,976
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08538 - INSTITUTO TECNOLOGICO MEXICO,08538,1077
